ALL COLLEGE,,,,,,,,,,,
(As on Date:  18-7-2026  3:3:40),,,,,,,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type
C-63174,Govt Degree College Batote ,Jammu and Kashmir,Ramban,-,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-21439,"Govt. Degree College Beerwah, Kashmir",Jammu and Kashmir,Budgam,https://www.gdcbeerwah.edu.in/,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-21404,"Govt. Degree  College Bemina, Srinagar",Jammu and Kashmir,Srinagar,https://gdcbemina.edu.in/,1970,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University
C-22954,"Govt. Degree College, Bhaderwah",Jammu and Kashmir,Doda,https://gdcbhadarwah.ac.in/,1955,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-53331,"Govt. Degree College, Bheemgal, Nizamabad (5073)",Telangana,Nizamabad,https://gdcts.cgg.gov.in/bheemgal.edu,2014,Rural,Affiliated College,State Government,U-0040,"Telangana University, Nizamabad",State Public University
C-21885,"Govt. Degree College, Bhikiyasen",Uttarakhand,Almora,www.gdcbhikiyasain.in ,2006,Rural,Affiliated College,State Government,U-1091,SOBAN SINGH JEENA UNIVERSITY,State Public University
C-33403,"Govt. Degree College, Bhua Bichhiya, Mandla",Madhya Pradesh,Mandla,www.mphighereducation.nic.in/gdcbhuabichhiya,1984,Rural,Affiliated College,State Government,U-0289,"Rani Durgavati Vishwavidyalaya, Jabalpur",State Public University
C-35054,"Govt. Degree College, Bichkunda (5011)",Telangana,Kamareddy,https://gdcts.cgg.gov.in/bichkunda.edu,1988,Rural,Affiliated College,State Government,U-0040,"Telangana University, Nizamabad",State Public University
C-19232,"Govt. Degree  College, Bijawar",Madhya Pradesh,Chhatarpur,https://highereducation.mp.gov.in/?orgid=100,1987,Rural,Affiliated College,State Government,U-0810,MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY,State Public University
C-21448,"Govt. Degree College Bijbehara, Kashmir",Jammu and Kashmir,Anantnag,www.gdcbijbehara.edu.in,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-22988,"Govt. Degree College, Billawar",Jammu and Kashmir,Kathua,www.gdcbillawar.in,2005,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-22941,"Govt. Degree College, Bishnah",Jammu and Kashmir,Jammu,www.gdcbishnah.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-35050,"Govt. Degree College, Bodhan (5007)",Telangana,Nizamabad,https://gdcts.cgg.gov.in/bodhan.edu,1983,Urban,Affiliated College,State Government,U-0040,"Telangana University, Nizamabad",State Public University
C-63920,GOVT DEGREE COLLEGE BONIYAR ,Jammu and Kashmir,Baramulla,www.gdcboniyar.com,2020,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-21409,"Govt. Degree College Boys Baramullah, Kashmir",Jammu and Kashmir,Baramulla,www.baramullacollege.net,1943,Urban,Autonomous College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-58899,GOVT DEGREE COLLEGE BRAHMKHAL,Uttarakhand,Uttarkashi,WWW.GDCBRAHAMKHAL.COM,2015,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-22915,"Govt. Degree College, Budhal",Jammu and Kashmir,Rajouri,www.gdcbudhal.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-24079,GOVT. DEGREE COLLEGE BUTTAIGUDEM,Andhra Pradesh,Eluru,www.gdcbuttaigudem.ac.in,2009,Rural,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-34853,"GOVT. DEGREE COLLEGE  CHACHORA ,BEENAGANG",Madhya Pradesh,Guna,https://highereducation.mp.gov.in/,1984,Urban,Affiliated College,State Government,U-0276,"Jiwaji University, Gwalior",State Public University
C-64873,GOVT DEGREE COLLEGE CHADOORA,Jammu and Kashmir,Budgam,https://www.gdcchadoora.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-22478,"GOVT. DEGREE COLLEGE, CHARKHARI",Uttar Pradesh,Mahoba,www.gdccharkhari.in,1978,Rural,Affiliated College,State Government,U-0502,"Bundelkhand University,  Jhansi",State Public University
C-22958,"Govt. Degree College, Chatroo",Jammu and Kashmir,Kishtwar,www.gdcchatroo.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-24680,"Govt. Degree College, Chaubattakhal",Uttarakhand,Pauri Garhwal,https://gdcchaubattakhal.in,1979,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-25890,Govt. Degree College (Chavella),Telangana,Ranga Reddy,https://gdcts.cgg.gov.in/chevella.edu       https://sites.google.com/view/gdc-chevella-english/home-page,2008,Rural,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-32624,"Govt. Degree College, Chebrolu",Andhra Pradesh,Guntur,www.gdcchebrole.ac.in,1983,Rural,Affiliated College,State Government,U-0003,"Acharya Nagarjuna University, Guntur",State Public University
C-24435,"Govt.Degree College, Cheepurupalli",Andhra Pradesh,Vizianagaram,www.gdccheepurupalli.ac.in,2008,Rural,Affiliated College,State Government,U-0006,"Andhra University, Visakhapatnam",State Public University
C-63675,Govt Degree College Chenani,Jammu and Kashmir,Udhampur,www.gdcchenani.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-73093,GOVT DEGREE COLLEGE CHHATRI DISTRICT MANDI HP    ,Himachal Pradesh,Mandi,www.gdcchhatri.ac.in,2022,Rural,Affiliated College,State Government,U-1106,Sardar Patel University,State Public University
C-23970,GOVT. DEGREE COLLEGE CHINTALAPUDI,Andhra Pradesh,Eluru,www.gdcctp.ac.in,1987,Rural,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-23896,"Govt.Degree College, Chintapalli",Andhra Pradesh,Alluri Sitharama Raju,www.gdcchintapalli.ac.in,2007,Rural,Affiliated College,State Government,U-0006,"Andhra University, Visakhapatnam",State Public University
C-59011,Govt. Degree College Chopal Distt. Shimla,Himachal Pradesh,Shimla,www.dhe.edu.in,2017,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-22295,"GOVT. DEGREE  COLLEGE, DABHARA",Chhattisgarh,Sakti,www.govtcollegedabhara.in,1983,Rural,Affiliated College,State Government,U-1160,SHAHEED NANDKUMAR PATEL VISHWAVIDYALAYA,State Public University
C-19233,"Govt. Degree College, Damua",Madhya Pradesh,Chhindwara,https://highereducation.mp.gov.in/?orgid=111,1989,Rural,Affiliated College,State Government,U-1084,"Raja Shankar Shah University,Chhindwara",State Public University
C-64011,GOVT DEGREE COLLEGE DARHAL,Jammu and Kashmir,Rajouri,www.gdcdarhal.com,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-57817,"GOVT. DEGREE COLLEGE DEHRA, KANGRA",Himachal Pradesh,Kangra,www.govtdegreecollegedehra.com,2017,Urban,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-19173,"Govt. Degree College, Devendranagar",Madhya Pradesh,Panna,www.hegcdevpan@mp.gov.in,1989,Urban,Affiliated College,State Government,U-0810,MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY,State Public University
C-57545,"GOVT. DEGREE COLLEGE DHANETA,HAMIRPUR",Himachal Pradesh,Hamirpur,www.gcdhaneta.ac.in,2016,Rural,Affiliated College,Central Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-73476,GOVT DEGREE COLLEGE DHARAKOTE    ,Odisha,Ganjam,-,2024,Rural,Affiliated College,State Government,U-0350,"Berhampur University, Berhampur",State Public University
C-22995,"Govt. Degree College, Dharmari",Jammu and Kashmir,Reasi,www.gdcdharmari.co.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-26308,"Govt. Degree College, Dhone (GVRS)",Andhra Pradesh,Nandyal,https://www.gdcdhone.ac.in/,1979,Rural,Affiliated College,State Government,U-0031,"Rayalaseema, University Kurnool",State Public University
C-51992,"Govt. Degree College Dhrampur, Solan",Himachal Pradesh,Solan,gcdharampursolan.in,2014,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-74176,"GOVT DEGREE COLLEGE, DICHPALLY, NIZAMABAD",Telangana,Nizamabad,-,2023,Rural,Affiliated College,State Government,U-0040,"Telangana University, Nizamabad",State Public University
C-22898,"Govt. Degree College, Doda",Jammu and Kashmir,Doda,www.gdcdoda.com,1989,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-21421,"Govt. Degree College Dooru, Kashmir",Jammu and Kashmir,Anantnag,www.gdcdooru.edu.in,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-62849,Govt Degree College Drass,Ladakh,Kargil,www.gdcdrass.ac.in,2018,Rural,Affiliated College,State Government,U-1097,UNIVERSITY OF LADAKH,State Public University
C-25423,Govt. Degree College (Dubbak),Telangana,Medak,https://gdcts.cgg.gov.in/dubbak.edu,2008,Rural,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-64883,GOVT DEGREE COLLEGE DUDU BASANTGARH,Jammu and Kashmir,Udhampur,www.gdcdb.com,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-14069,"Govt. Degree College, Dumariaganj, Siddharathnagar",Uttar Pradesh,Siddharthnagar,www.gdcdmjsnagar.org,2003,Rural,Affiliated College,State Government,U-0848,"SIDDHARTH UNIVERSITY, KAPILVASTU",State Public University
C-24471,"Govt. Degree College, Eluru",Andhra Pradesh,Eluru,www.gdceluru.ac.in,2008,Urban,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-21415,"Govt. Degree College for Boys Anantnag, Kashmir",Jammu and Kashmir,Anantnag,www.gdcboysang.ac.in,1950,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-63729,Govt Degree College For Women Arakuvalley,Andhra Pradesh,Visakhapatnam,gdcwaraku.in,2019,Rural,Affiliated College,State Government,U-0006,"Andhra University, Visakhapatnam",State Public University
C-21459,"Govt. Degree College for Women, Baramullah, Kmr.",Jammu and Kashmir,Baramulla,www.gdcwbla.edu.in,1986,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-25611,Govt. Degree College for Women (Begumpet),Telangana,Hyderabad,https://gdctg.cgg.gov.in/secunderabad.edu,1971,Urban,Autonomous College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-21998,"Govt. Degree College for Women, Gadwal",Telangana,JOGULAMBA GADWAL,http://gdcts.cgg.gov.in/gadwalwomen.edu,2008,Rural,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-25983,Govt. Degree College for Women (Gajwel),Telangana,Siddipet,https://gdcts.cgg.gov.in/gajwelwomen.edu,2008,Rural,Affiliated College,Central Government,U-0027,"Osmania University, Hyderabad",State Public University
C-25846,Govt. Degree College for Women (Hussainialam),Telangana,Hyderabad,http://gdcts.cgg.gov.in/hussainialam.edu,1984,Urban,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-21600,"GOVT. DEGREE COLLEGE FOR WOMEN, KARIMNAGAR",Telangana,Karimnagar,http://gdctg.cgg.gov.in/karimnagarwomen.edu,1973,Urban,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-30795,"Govt. Degree College for Women, Kathua",Jammu and Kashmir,Kathua,www.gdcwkathua.in,2005,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-27824,"Govt. Degree     College for     Women,     Madanapalle  Urban",Andhra Pradesh,Annamayya,http://gdcwmadanapalle.edu.in/,1984,Urban,Affiliated College,State Government,U-0037,"Sri Venkateswara University, Tirupathy",State Public University
C-33155,"GOVT. DEGREE COLLEGE FOR WOMEN, NALGONDA",Telangana,Nalgonda,https://gdctg.cgg.gov.in/ramagiri.edu,1977,Urban,Affiliated College,State Government,U-0022,"Mahatma Gandhi University, Nalgonda",State Public University
C-21411,"Govt. Degree College for Women Pulwama, Kashmir",Jammu and Kashmir,Pulwama,gdcwpulwama.edu.in,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-21454,"Govt. Degree College for Womens, Anantnag",Jammu and Kashmir,Anantnag,www.wca.edu.in,1979,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-26035,Govt. Degree College for Women (Sangareddy),Telangana,Sangareddy,www.gdcwsangareddy.hpage.com,1981,Urban,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-25719,Govt. Degree College for Women (Siddipet),Telangana,Medak,https://gdcts.cgg.gov.in/siddipetwomen.edu,2008,Rural,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-35390,"Govt.  Degree College for Women Sopore, Kashmir",Jammu and Kashmir,Baramulla,www.gdcwsopore.edu.in,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-27767,Govt. Degree College for women  Sri kalahasthi Urban,Andhra Pradesh,Tirupati,www.gdcwsrikalahasti.org,1988,Urban,Affiliated College,State Government,U-0037,"Sri Venkateswara University, Tirupathy",State Public University
C-21965,"Govt. Degree College for Women, Wanaparthy",Telangana,Mahabubnagar,https://gdctg.cgg.gov.in/wanaparthywomen.edu,-,Urban,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-26086,Govt. Degree College (Gajwel),Telangana,Medak,https://gdcts.cgg.gov.in/gajwel.edu,1997,Rural,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-21440,"Govt. Degree College Ganderbal, Kashmir",Jammu and Kashmir,Ganderbal,www.gdcganderbal.edu.in,2002,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-63673,Govt Degree College Ghagwal,Jammu and Kashmir,Samba,https://gdcghagwal.co.in/,2019,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-56786,Govt. Degree College (Girls),Andhra Pradesh,Bapatla,www.gdcwbapatla.edu.in,2014,Urban,Affiliated College,State Government,U-0003,"Acharya Nagarjuna University, Guntur",State Public University
C-21556,"GOVT. DEGREE COLLEGE, GODHAVARIKHANI",Telangana,Karimnagar,https://gdcts.cgg.gov.in/godavarikhani.edu,1981,Urban,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-15159,"GOVT.DEGREE COLLEGE GONDA,IGLAS ALIGARH",Uttar Pradesh,Aligarh,www.gdcgondaiglas.com,1991,Rural,Affiliated College,State Government,U-1220,RAJA MAHENDRA PRATAP SINGH UNIVERSITY,State Public University
C-24325,"Govt.Degree College, Gummalakshmipuram",Andhra Pradesh,Parvathipuram Manyam,gdcglpuram.ac.in,2007,Rural,Affiliated College,State Government,U-0006,"Andhra University, Visakhapatnam",State Public University
C-21437,"Govt. Degree College Gurez, Kashmir",Jammu and Kashmir,Bandipora,https://gurezcollege.net/ ,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-31878,"GOVT DEGREE COLLEGE GURH, REWA",Madhya Pradesh,Rewa,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NDYy,1984,Rural,Affiliated College,State Government,U-0268,"Awadesh Pratap Singh University, Rewa",State Public University
C-21418,"Govt Degree College Handwara, Kashmir",Jammu and Kashmir,Kupwara,www.gdchandwara.edu.in,1988,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-25463,Govt. Degree College (Hayathnagar),Telangana,Ranga Reddy,https://gdcts.cgg.gov.in/hayathnagar.edu,2008,Urban,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-21526,"GOVT. DEGREE COLLEGE, HUZURABAD",Telangana,Karimnagar,https://gdcts.cgg.gov.in/huzurabad.edu,1993,Rural,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-26036,Govt. Degree College (Ibrahimpatnam),Telangana,Ranga Reddy,http://gdcts.cgg.gov.in/ibrahimpatnam.edu,2008,Rural,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-24239,"Govt.Degree College, Jaggampeta",Andhra Pradesh,Kakinada,www.gdcjaggampeta.ac.in,2008,Rural,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-59140,Govt. Degree College Jainagar,Himachal Pradesh,Solan,https://education.hp.gov.in,2017,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-24634,"Govt. Degree College, Jakholi",Uttarakhand,Rudraprayag,gdcjakholi.ac.in,2001,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-21498,"GOVT. DEGREE COLLEGE, JAMMIKUNTA",Telangana,Karimnagar,http://gdcts.cgg.gov.in/jammikunta.edu,1965,Rural,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-60397,Govt. Degree College Jawali,Himachal Pradesh,Kangra,www.gdcjawali.in,2018,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-60844,Govt. Degree College  Jeori ,Himachal Pradesh,Shimla,-,2017,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-61788,Govt Degree College Jourian,Jammu and Kashmir,Jammu,www.gdcjourian.co.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-56558,Govt. Degree College Kaffota. Sirmour,Himachal Pradesh,Sirmaur,www.gckaffota.ac.in,2016,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-22026,"Govt. Degree College , Kalwakurthy",Telangana,Mahabubnagar,https://gdcts.cgg.gov.in/kalwakurthy.edu,2008,Urban,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-21875,"Govt. Degree College, kanda",Uttarakhand,Bageshwar,www.gdckanda.in,2006,Rural,Affiliated College,State Government,U-1091,SOBAN SINGH JEENA UNIVERSITY,State Public University
C-55812,"GOVT. DEGREE COLLEGE KANDAGHAT, SOLAN",Himachal Pradesh,Solan,gckandaghat.edu.in,2016,Urban,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-32748,"Govt. Degree College, Kanigiri",Andhra Pradesh,Prakasam,www.gdcanigiri.ac.in,1983,Rural,Affiliated College,Private Un-Aided,U-1282,ANDHRA KESARI UNIVERSITY,State Public University
C-21423,Govt. Degree College Kargil,Ladakh,Kargil,https://www.kargilcollege.net/,1995,Urban,Affiliated College,State Government,U-1097,UNIVERSITY OF LADAKH,State Public University
C-27741,"Govt. Degree       College,  Karvetinagaram Rural",Andhra Pradesh,Chittoor,www.gdcknagaram.edu.in,1995,Rural,Affiliated College,State Government,U-0037,"Sri Venkateswara University, Tirupathy",State Public University
C-23011,"Govt. Degree College, Kathua",Jammu and Kashmir,Kathua,www.gdckathua.com,1961,Urban,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-56639,"Govt. Degree College Khad, Una",Himachal Pradesh,Una,www.gdckhad.in,2016,Rural,Affiliated College,State Government,U-0183,"Himachal Pradesh University , Shimla",State Public University
C-15157,"GOVT. DEGREE COLLEGE, KHAIR ALIGARH",Uttar Pradesh,Aligarh,www.govpgcollegekhair.com,1992,Rural,Affiliated College,State Government,U-1220,RAJA MAHENDRA PRATAP SINGH UNIVERSITY,State Public University
C-25706,Govt. Degree College (Khairatabad),Telangana,Hyderabad,www.gdckhairatabad.ac.in,1973,Urban,Autonomous College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-73736,GOVT DEGREE COLLEGE KHAJURIPADA    ,Odisha,Kandhamal,-,2024,Rural,Affiliated College,State Government,U-0350,"Berhampur University, Berhampur",State Public University
C-21447,"Govt. Degree College Khansahib Budgam,Kmr.",Jammu and Kashmir,Budgam,www.gdckhansahib.net,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-68086,"GOVT DEGREE COLLEGE, KHIRSU, PAURI GARHWAL   ",Uttarakhand,Pauri Garhwal,gdckhirshu.org.in,2021,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-22990,Govt. Degree College Kilhotran,Jammu and Kashmir,Doda,www.gdckilhotran.in,2008,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-21449,"Govt. Degree College,Killam Kulgam,Kmr",Jammu and Kashmir,Kulgam,www.gdckillam.com,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-23016,"Govt Degree College, Kishtwar",Jammu and Kashmir,Kishtwar,www.gdckishtwar.in,1986,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-22039,"Govt. Degree College , Kodangal",Telangana,Mahabubnagar,https://gdcts.cgg.gov.in/kodangal.edu,2008,Rural,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-21431,"Govt. Degree College Kokernag, Kashmir",Jammu and Kashmir,Anantnag,www.gdckokernag.edu.in,2008,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-21947,"Govt. Degree College , Kollapur",Telangana,Mahabubnagar,https://gdctg.cgg.gov.in/kollapur.edu,2008,Rural,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-69817,GOVT DEGREE COLLEGE KOLLAPUR,Telangana,Nagarkurnool,-,-,Rural,Affiliated College,State Government,U-0028,"Palamuru University,  Mahabubnagar",State Public University
C-24065,"Govt. Degree College, Kommavarapukota",Andhra Pradesh,Eluru,www.gdckamavarapukota.ac.in,2008,Rural,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-21625,"GOVT. DEGREE COLLEGE, KORATLA",Telangana,Jagitial,https://gdcts.cgg.gov.in/koratla.edu,1981,Rural,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-63681,GOVT DEGREE COLLEGE KOTERANKA,Jammu and Kashmir,Rajouri,www.gdckotranka.in,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-56678,"Govt.Degree College Kotli, Mandi",Himachal Pradesh,Mandi,www.gdckotli.in,2016,Rural,Affiliated College,State Government,U-1106,Sardar Patel University,State Public University
C-64651,GOVT DEGREE COLLEGE KRALPORA,Jammu and Kashmir,Kupwara,www.gdckralpora.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-25535,Govt. Degree College (Kukatpally),Telangana,MEDCHAL MALKAJGIRI,http://gdctg.cgg.gov.in/kukatpally.edu,2008,Urban,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-21414,"Govt. Degree College Kulgam, Kashmir",Jammu and Kashmir,Kulgam,www.gdckulgam.edu.in,2004,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-27671,Govt. Degree College Kuppam  Rural  Co-Ed.,Andhra Pradesh,Chittoor,www.gdckuppam.edu.in,2008,Rural,Affiliated College,State Government,U-0037,"Sri Venkateswara University, Tirupathy",State Public University
C-21410,"Govt. Degree College Kupwara, Kashmir",Jammu and Kashmir,Kupwara,www.gdckupwara.edu.in,1988,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-34984,GOVT. DEGREE  COLLEGE  LAHAR,Madhya Pradesh,Bhind,www.mpcolleges.nic.in/gdclahar,1989,Rural,Affiliated College,State Government,U-0276,"Jiwaji University, Gwalior",State Public University
C-54172,Govt. Degree College Lamgara,Uttarakhand,Almora,www.gdclamgara.in,2014,Rural,Affiliated College,Local Body,U-1091,SOBAN SINGH JEENA UNIVERSITY,State Public University
C-64538,GOVT DEGREE COLLEGE LANGATE ,Jammu and Kashmir,Kupwara,http://gdclangate.edu.in,2019,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University
C-33452,"Govt. Degree College, Lanji, Balaghat",Madhya Pradesh,Balaghat,www.mp.gov.in/highereducation/gdclanji,1989,Rural,Affiliated College,State Government,U-1084,"Raja Shankar Shah University,Chhindwara",State Public University
C-19159,Govt. Degree College Lavkushnagar,Madhya Pradesh,Chhatarpur,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NDk4,1983,Rural,Affiliated College,State Government,U-0810,MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY,State Public University
C-74404,"GOVT DEGREE COLLEGE, MADNOOR ",Telangana,Kamareddy,-,2023,Rural,Affiliated College,State Government,U-0040,"Telangana University, Nizamabad",State Public University
C-55850,GOVT. DEGREE COLLEGE MAJALTA,Jammu and Kashmir,Udhampur,WWW.GDCMAJALTA.IN,2016,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University
C-54916,"GOVT DEGREE COLLEGE, MAJRA MAHADEV",Uttarakhand,Pauri Garhwal,gdcmajramahadev.in,2010,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-58804,Govt Degree College Maldhanchaur (Nainital),Uttarakhand,Nainital,www.gdcmaldhanchaur.in,2016,Rural,Affiliated College,State Government,U-0562,"Kumaun University, Nainital",State Public University
C-48832,"GOVT DEGREE COLLEGE, MALKAJGIRI",Telangana,MEDCHAL MALKAJGIRI,https://gdcts.cgg.gov.in/malkajgiri.edu,2013,Urban,Affiliated College,State Government,U-0027,"Osmania University, Hyderabad",State Public University
C-24009,"Govt.Degree College, Mandapeta",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,www.gdcmandapeta.co.in,1989,Rural,Affiliated College,State Government,U-0005,"Adikavi Nannaya University, Rajahmundry, East Godawari",State Public University
C-22575,"GOVT. DEGREE COLLEGE, MANIKPUR                             ",Uttar Pradesh,Chitrakoot,https://www.gdcmanikpur.org,2006,Rural,Affiliated College,State Government,U-0502,"Bundelkhand University,  Jhansi",State Public University
C-21503,"GOVT. DEGREE COLLEGE, MANTHANI",Telangana,Karimnagar,http://gdcts.cgg.gov.in/manthani.edu,1981,Rural,Affiliated College,State Government,U-0032,"Satavahana University, Karimnagar",State Public University
C-58869,"Govt. Degree College, Margubpur, Roorkee, Haridwar",Uttarakhand,Haridwar,www.gdcmargubpur.com,2014,Rural,Affiliated College,State Government,U-0717,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI",State Public University
C-56769,"Govt Degree College, Marripalem, Koyyur Mandal",Andhra Pradesh,Alluri Sitharama Raju,gdc.website2025@gmail.com,2011,Rural,Affiliated College,State Government,U-0006,"Andhra University, Visakhapatnam",State Public University
